date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:04:20	116/116	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Jul%202023%2021:34:19%20GMT	https://spet-gatsby.envytheme.com/robots.txt		(from )
03:04:21	1183512/1183512	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Sep%202021%2008:29:16%20GMT	https://spet-gatsby.envytheme.com/it-startup/	D:/spet/spet-gatsby.envytheme.com/it-startup/index.html	(from )
03:04:22	360/360	---M--	200	added ('OK')	image/png	etag:%226148464c-168%22	https://spet-gatsby.envytheme.com/favicon-32x32.png?v=42d1de23b44dd015a065d5e9bc67d74e	D:/spet/spet-gatsby.envytheme.com/favicon-32x32b7a5.png	(from https://spet-gatsby.envytheme.com/it-startup/)
03:04:23	1140/1140	---M--	200	added ('OK')	image/png	etag:%226148465b-474%22	https://spet-gatsby.envytheme.com/icons/icon-48x48.png?v=42d1de23b44dd015a065d5e9bc67d74e	D:/spet/spet-gatsby.envytheme.com/icons/icon-48x48b7a5.png	(from https://spet-gatsby.envytheme.com/it-startup/)
03:04:24	2924/2924	---M--	200	added ('OK')	image/png	etag:%226148465b-b6c%22	https://spet-gatsby.envytheme.com/icons/icon-72x72.png?v=42d1de23b44dd015a065d5e9bc67d74e	D:/spet/spet-gatsby.envytheme.com/icons/icon-72x72b7a5.png	(from https://spet-gatsby.envytheme.com/it-startup/)
03:04:25	3458/3458	---M--	200	added ('OK')	image/png	etag:%226148465b-d82%22	https://spet-gatsby.envytheme.com/icons/icon-96x96.png?v=42d1de23b44dd015a065d5e9bc67d74e	D:/spet/spet-gatsby.envytheme.com/icons/icon-96x96b7a5.png	(from https://spet-gatsby.envytheme.com/it-startup/)
03:04:25	5758/5758	---M--	200	added ('OK')	image/png	etag:%226148465a-1ee2%22	https://spet-gatsby.envytheme.com/icons/icon-144x144.png?v=42d1de23b44dd015a065d5e9bc67d74e	D:/spet/spet-gatsby.envytheme.com/icons/icon-144x144b7a5.png	(from https://spet-gatsby.envytheme.com/it-startup/)
03:04:26	12544/12544	---M--	200	added ('OK')	image/png	etag:%226148465a-3100%22	https://spet-gatsby.envytheme.com/icons/icon-192x192.png?v=42d1de23b44dd015a065d5e9bc67d74e	D:/spet/spet-gatsby.envytheme.com/icons/icon-192x192b7a5.png	(from https://spet-gatsby.envytheme.com/it-startup/)
03:04:27	21086/21086	---M--	200	added ('OK')	image/png	etag:%226148465a-525e%22	https://spet-gatsby.envytheme.com/icons/icon-256x256.png?v=42d1de23b44dd015a065d5e9bc67d74e	D:/spet/spet-gatsby.envytheme.com/icons/icon-256x256b7a5.png	(from https://spet-gatsby.envytheme.com/it-startup/)
03:04:29	46934/46934	---M--	200	added ('OK')	image/png	etag:%226148465b-b756%22	https://spet-gatsby.envytheme.com/icons/icon-384x384.png?v=42d1de23b44dd015a065d5e9bc67d74e	D:/spet/spet-gatsby.envytheme.com/icons/icon-384x384b7a5.png	(from https://spet-gatsby.envytheme.com/it-startup/)
03:04:29	80068/80068	---M--	200	added ('OK')	image/png	etag:%226148465b-138c4%22	https://spet-gatsby.envytheme.com/icons/icon-512x512.png?v=42d1de23b44dd015a065d5e9bc67d74e	D:/spet/spet-gatsby.envytheme.com/icons/icon-512x512b7a5.png	(from https://spet-gatsby.envytheme.com/it-startup/)
03:04:29	8392/8392	---MCZ	200	added ('OK')	application/javascript	etag:W/%226148464e-20c8%22	https://spet-gatsby.envytheme.com/webpack-runtime-e21b2383f955aa703d7e.js	D:/spet/spet-gatsby.envytheme.com/webpack-runtime-e21b2383f955aa703d7e.js	(from https://spet-gatsby.envytheme.com/it-startup/)
03:04:30	129826/129826	---MCZ	200	added ('OK')	application/javascript	etag:W/%226148464c-1fb22%22	https://spet-gatsby.envytheme.com/framework-1962f46ddf4a3dfbd9be.js	D:/spet/spet-gatsby.envytheme.com/framework-1962f46ddf4a3dfbd9be.js	(from https://spet-gatsby.envytheme.com/it-startup/)
